Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
80,43124,Menemsha,123,10,SNE,2,2016,109,-3.1,30.6,1.57315E-06,0.012425913,0.000140249,9.84195E-06,#VALUE!,7.79636E-05,6.39444E-05,-0.000338791,-0.000292936,0.007246854,6.09389E-07,#VALUE!,#VALUE!,#VALUE!
57,43124,Menemsha,124,10,SNE,2,2016,110,-3.1,30.3,1.6996E-06,0.013745434,#VALUE!,9.73475E-06,#VALUE!,8.14751E-05,6.78694E-05,-0.000362582,#VALUE!,0.007209304,7.03259E-07,#VALUE!,#VALUE!,#VALUE!
31,43343,Niantic River,131,12,SNE,2,2016,113,-1.9,31.9,2.15423E-06,0.01798337,0.000263226,1.05524E-05,4.66204E-05,1.76368E-05,1.76946E-05,6.76369E-05,6.68616E-05,0.010070702,1.26637E-07,6.37847E-08,1.46722E-05,3.4915E-06
69,43124,Niantic River,130,12,SNE,2,2016,116,-2.4,30.6,1.63118E-06,0.013339277,#VALUE!,9.75818E-06,#VALUE!,0.000122937,0.000106974,-0.000362874,-0.000313639,0.007006697,2.69329E-07,#VALUE!,#VALUE!,#VALUE!
32,43343,Niantic River,132,12,SNE,2,2016,125,-1.5,31.5,1.62641E-06,0.01296115,0.00022584,7.53174E-06,4.77541E-05,1.89432E-05,1.91576E-05,8.61162E-05,8.59318E-05,0.006667242,1.24909E-07,9.24441E-08,3.0177E-05,8.8172E-07
33,43343,Niantic River,133,12,SNE,2,2016,127,-2.4,31.3,2.62587E-06,0.021827044,0.000193386,1.66901E-05,6.42565E-05,2.06889E-05,2.15047E-05,0.000118871,0.000113402,0.013767993,1.41595E-07,5.34604E-08,1.99814E-05,9.02776E-08
65,43124,Lagoon Pond,89,9,SNE,2,2016,131,-1.0,30.5,1.56139E-06,0.013075997,0.000177845,4.79566E-06,#VALUE!,8.30043E-05,6.80103E-05,-0.000378596,-0.000327111,0.007514901,2.50474E-07,#VALUE!,#VALUE!,#VALUE!
83,43124,Lagoon Pond,90,9,SNE,2,2016,132,-2.3,30.4,1.60762E-06,0.011794121,#VALUE!,8.60661E-06,#VALUE!,7.33504E-05,5.97182E-05,-0.000323917,-0.000279754,0.007838121,3.52484E-07,#VALUE!,#VALUE!,#VALUE!
34,43343,Lagoon Pond,92,9,SNE,2,2016,133,-1.6,31.4,1.61909E-06,0.01147006,0.000178629,4.77243E-06,5.50095E-05,1.75122E-05,1.75561E-05,5.94817E-05,5.90232E-05,0.007554316,1.33343E-07,6.94831E-08,3.2545E-05,3.51952E-07
63,43124,Lagoon Pond,91,9,SNE,2,2016,136,-1.7,30.6,1.58506E-06,0.012983947,#VALUE!,3.70179E-06,#VALUE!,8.32386E-05,6.85968E-05,-0.000376347,-0.000324934,0.007703955,3.25022E-07,#VALUE!,#VALUE!,#VALUE!
79,43124,Hempstead,51,16,SNE,2,2016,141,-1.7,30.7,1.55011E-06,0.012553587,#VALUE!,4.18987E-06,#VALUE!,7.67732E-05,6.28415E-05,-0.0003366,-0.000290818,0.007404004,2.35859E-07,#VALUE!,#VALUE!,#VALUE!
62,43124,Hempstead,52,16,SNE,2,2016,143,-3.9,29.2,1.38799E-06,0.012566511,0.000124958,3.22498E-05,#VALUE!,8.13451E-05,6.926E-05,-0.000295501,-0.000256604,0.006464391,3.52286E-07,#VALUE!,#VALUE!,#VALUE!
53,43124,Hempstead,53,16,SNE,2,2016,144,-3.5,29.2,1.46171E-06,0.011988169,#VALUE!,5.74365E-05,#VALUE!,8.10169E-05,6.83947E-05,-0.000321023,-0.000277154,0.007126489,4.25345E-07,#VALUE!,#VALUE!,#VALUE!
39,43124,Hempstead,54,16,SNE,2,2016,145,-4.1,29.0,1.36617E-06,0.011889509,0.000150124,3.65932E-05,#VALUE!,6.34542E-05,5.27769E-05,-0.000287176,-0.000247981,0.00632461,1.84915E-07,#VALUE!,#VALUE!,-4.758E-07
82,43124,Hempstead,55,16,SNE,2,2016,146,-3.8,29.2,1.47217E-06,0.017110634,#VALUE!,4.422E-05,#VALUE!,7.99279E-05,6.6339E-05,-0.000329278,-0.000284907,0.006572972,4.76642E-07,#VALUE!,#VALUE!,#VALUE!
66,43187,Hempstead,56,16,SNE,2,2016,147,-3.7,29.6,9.60779E-07,0.007319857,0.000125697,7.5514E-05,9.69235E-06,5.47203E-06,5.24468E-06,2.16185E-05,1.92298E-05,0.004473302,-4.33037E-08,-2.41592E-08,4.6373E-06,2.90927E-07
20,43187,Hempstead,71,16,SNE,2,2016,148,-3.3,29.1,9.30607E-07,0.007398225,0.000142781,1.44043E-05,1.2305E-05,1.13409E-06,1.09376E-06,2.08988E-05,1.86703E-05,0.004475316,-4.23102E-08,-1.93536E-08,5.62871E-06,3.14683E-07
58,43187,Hempstead,57,16,SNE,2,2016,149,-3.6,28.7,8.35776E-07,0.007244973,7.90156E-05,5.02917E-06,3.20374E-06,1.28378E-06,1.14247E-06,1.90888E-05,1.73269E-05,0.005082786,-3.80788E-08,-2.32114E-08,3.62282E-06,2.73899E-07
